state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
NH,1,-0.223,-0.138,0.05512,0.2,"SHAHEEN, Jeanne",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,40906,0,0
OR,1,-0.453,-0.727,0.06256,0.2,"MERKLEY, Jeff",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,40908,0,0
VA,1,-0.211,-0.042,0.03244,0.2,"WARNER, Mark",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,40909,0,0
CO,1,-0.24,-0.184,0.041306666666666665,0.2,"BENNET, Michael F.",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,40910,0,0
DE,1,-0.238,-0.217,0.052373333333333334,0.2,"COONS, Christopher A.",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,40916,0,0
CT,1,-0.434,-0.157,0.07941333333333334,0.175,"BLUMENTHAL, Richard",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,41101,0,0
KY,1,0.891,-0.454,0.01468,0.175,"PAUL, Rand",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41104,0,1
ND,1,0.4,0.45,0.02644,0.175,"HOEVEN, John",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41107,0,1
UT,1,0.891,-0.454,0.02288,0.175,"LEE, Mike",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41110,0,1
WI,1,0.641,-0.139,0.017573333333333333,0.175,"JOHNSON, Ron",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41111,0,1
HI,1,-0.449,-0.113,0.02984,0.175,"SCHATZ, Brian Emanuel",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,41112,0,0
ME,1,-0.167,-0.19,0.04034666666666667,0.15,"KING, Angus Stanley, Jr.",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,41300,1,1
MA,1,-0.744,-0.37,0.05617333333333333,0.15,"WARREN, Elizabeth",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,41301,0,0
NE,1,0.46,0.334,0.020426666666666666,0.15,"FISCHER, Debra (Deb)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41302,0,1
TX,1,0.78,-0.176,0.026813333333333335,0.15,"CRUZ, Rafael Edward (Ted)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41304,0,1
VA,1,-0.241,-0.104,0.03625333333333333,0.15,"KAINE, Timothy Michael (Tim)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,41305,0,0
AK,1,0.476,0.159,0.022893333333333335,0.125,"SULLIVAN, Daniel Scott",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41500,0,1
NC,1,0.389,-0.108,0.03368,0.125,"TILLIS, Thomas Roland (Thom)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41504,0,1
SD,1,0.351,0.086,0.024093333333333335,0.125,"ROUNDS, Marion Michael (Mike)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41505,0,1
NV,1,-0.346,0.35,0.0286,0.1,"CORTEZ MASTO, Catherine Marie",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,41700,0,0
NH,1,-0.228,0.03,0.03188,0.1,"HASSAN, Margaret (Maggie)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,41702,0,0
LA,1,0.561,-0.154,0.0146,0.1,"KENNEDY, John Neely",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41703,0,1
MS,1,0.452,0.328,0.0194,0.1,"HYDE-SMITH, Cindy",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41707,0,1
MO,1,0.829,-0.368,0.0122,0.075,"HAWLEY, Joshua David",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41901,0,1
FL,1,0.718,-0.025,0.022093333333333333,0.075,"SCOTT, Richard Lynn (Rick)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,41903,0,1
AZ,1,-0.263,0.281,0.014546666666666666,0.075,"KELLY, Mark Edward",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,41905,0,0
TN,1,0.68,-0.088,0.0108,0.05,"HAGERTY, William Francis (Bill)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,42100,0,1
CO,1,-0.279,-0.026,0.012266666666666667,0.05,"HICKENLOOPER, John Wright",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,42101,0,0
AL,1,0.936,-0.352,0.00808,0.05,"TUBERVILLE, Thomas Hawley (Tommy)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,42102,0,1
GA,1,-0.46,0.475,0.009573333333333333,0.05,"OSSOFF, Thomas Jonathan (Jon)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,42103,0,0
CA,1,-0.426,-0.252,0.025293333333333334,0.05,"PADILLA, Alejandro (Alex)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,42104,0,0
AL,1,0.588,0.575,0.008066666666666666,0.025,"BRITT, Katie Elizabeth",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,42300,0,1
PA,1,-0.18,0.119,0.00976,0.025,"FETTERMAN, John Karl",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,42301,0,0
NE,1,0.437,0.52,0.0086,0.025,"RICKETTS, John Peter (Pete)",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,42302,0,1
MO,1,0.91,0.069,0.004746666666666666,0.025,"SCHMITT, Eric Stephen",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,42303,0,1
MD,1,-0.436,0.024,0.00352,0.0,"ALSOBROOKS, Angela Deneece",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,0,239,42500,0,0
PA,1,0.582,0.581,0.0016666666666666668,0.0,"MCCORMICK, David Harold",-0.004,-0.252,0.0,0.005607476635514018,HJRES60,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".",Joint Resolution Passed,1,239,42501,0,1
